doc.GenreType	Frequency
Liturgy	1575
Homily/Sermon	916
Bible Commentary	870
Martyr Acts	842
Letter	741
Chronicle	640
Acts	611
Discourse	603
Commentary	576
Narrative Poetry	473
Treatise	452
Theology	401
Scripture	396
Legend	385
Disputation	246
Writing	231
_	211
Canon	173
Anaphora	148
Ascetical Treatise	147
Apocrypha	145
Book of Synods	143
Letter/Polemic	143
Hymn	130
Lexica	123
Apology	114
Commentary/Homily	90
Polemic Narrative	70
Canon/Law	70
Metrical Poetry	69
Theology/Chapters	69
Vita	59
Metrical Homilies/Dialogue Poems	58
Question & Answer	52
Philosophy	49
Polemic	44
Novel	42
History	40
Encyclopedia	36
Introduction/Discourse	30
Law	29
Saying	28
Biography	28
Scholastic Treatise	26
Medical Treatise	25
Gospel/Apocalypse	24
Question	21
Narrative Poetry/Discourse	20
Cause	20
Grammar	19
Psalms	18
Scholion	17
Reason	17
Dialogue Poem	12
Introduction	12
Letter/Narrative Poetry	12
Rite/Canon	12
Prayer	11
Florilegium	11
Anthology	10
Theological Poetry	10
Autobiography	7
Parable	5
Advice	4
Revelation/Apocalypse	4
Acts/Treatise	3
Aphorism	3
Short Story	3
Discourse/Letter	2
Pamphlet	2
Tract	1
Doctrine/Teaching	1
Profession of Faith	1
Epitome	1
Calendar	1
Play	1
