doc.GenreType	Frequency
Martyr Acts	39
Commentary	38
Homily/Sermon	38
Bible Commentary	28
Liturgy	24
Acts	18
Chronicle	16
Writing	16
Disputation	12
Narrative Poetry	12
Legend	11
Scripture	9
Metrical Homilies/Dialogue Poems	9
Treatise	8
Apocrypha	7
Philosophy	6
Polemic	6
_	6
Canon/Law	5
Theology	4
Discourse	3
Hymn	3
Pamphlet	3
Theological Poetry	3
Book of Synods	2
Question	2
Apology	2
Letter	1
Question & Answer	1
Metrical Poetry	1
Introduction	1
Vita	1
Law	1
Letter/Polemic	1
Commentary/Homily	1
Introduction/Discourse	1
Anthology	1
Autobiography	1
Lexica	1
