doc.GenreType	Frequency
Liturgy	4349
Homily/Sermon	2139
Commentary	1568
Bible Commentary	1485
Letter	1440
Theology	1338
Discourse	1029
Narrative Poetry	875
Chronicle	786
Martyr Acts	772
_	697
Acts	641
Treatise	482
Scripture	409
Legend	381
Canon	363
Hymn	354
Book of Synods	350
Apology	242
Disputation	235
Metrical Homilies/Dialogue Poems	235
Writing	224
Commentary/Homily	207
Anaphora	186
Letter/Polemic	169
Ascetical Treatise	146
Polemic	132
Metrical Poetry	116
Canon/Law	111
Polemic Narrative	104
Theology/Chapters	100
Florilegium	79
Introduction/Discourse	78
Apocrypha	76
Introduction	74
Biography	72
Philosophy	71
Question	64
Law	58
Vita	53
Lexica	49
Question & Answer	46
History	46
Encyclopedia	45
Pamphlet	36
Narrative Poetry/Discourse	35
Letter/Narrative Poetry	34
Rite/Canon	34
Psalms	32
Profession of Faith	21
Theological Poetry	21
Grammar	19
Saying	19
Gospel/Apocalypse	18
Reason	16
Scholastic Treatise	14
Prayer	13
Scholion	10
Novel	10
Discourse/Letter	9
Preface	9
Cause	7
Anthology	6
Doctrine/Teaching	5
Συνδοκτικοv	5
Medical Treatise	4
Ἀνατολικόν	4
Epitome	3
Autobiography	3
Advice	2
Colophon	2
Dream Explanations	2
Short Story	2
Dialogue Poem	1
Defense	1
Inscription	1
Calendar	1
