doc.GenreType	Frequency
Liturgy	4139
_	466
Homily/Sermon	414
Theology	335
Letter	331
Chronicle	227
Commentary	205
Bible Commentary	197
Anaphora	179
Discourse	167
Narrative Poetry	166
Treatise	148
Martyr Acts	132
Writing	127
Lexica	121
Acts	111
Disputation	95
Commentary/Homily	91
Metrical Poetry	90
Legend	90
Metrical Homilies/Dialogue Poems	85
Apology	79
Hymn	78
Encyclopedia	66
Ascetical Treatise	55
Canon	55
Book of Synods	54
Scripture	41
Polemic	37
Question	36
Introduction	33
Canon/Law	30
Biography	29
Rite/Canon	27
Letter/Polemic	23
Theological Poetry	21
Psalms	21
Apocrypha	19
Polemic Narrative	18
Philosophy	18
Prayer	18
Theology/Chapters	16
Dialogue Poem	15
Question & Answer	15
History	15
Grammar	14
Narrative Poetry/Discourse	13
Vita	13
Introduction/Discourse	11
Law	11
Pamphlet	9
Florilegium	9
Novel	9
Autobiography	8
Scholion	5
Discourse/Letter	4
Scholastic Treatise	4
Medical Treatise	3
Letter/Narrative Poetry	3
Reason	3
Profession of Faith	2
Colophon	2
Doctrine/Teaching	1
Anthology	1
Rite	1
Gospel/Apocalypse	1
Συνδοκτικοv	1
Saying	1
Cause	1
