ChrLastKgsPersia	Guidi, Ignazio, ed. Chronica Minora I. CSCO 1, Syr. 1. Leuven: Secrétariat du CorpusSCO, 1903. (1960)
PhiloxMab:TenMem	Ref A: Brière, Maurice, ed. Sancti Philoxeni episcopi Mabbugensis dissertationes decem de Uno e sancta Trinitate incorporato et passo. Dissertatio Ia et IIa. Patrologia Orientalis 15.4 [75]. Paris: Firmin-Didot, 1920. | Ref B: Brière, Maurice and Graffin, François, eds. Sancti Philoxeni episcopi Mabbugensis dissertationes decem de Uno e sancta Trinitate incorporato et passo. II. Dissertationes 3a, 4a, 5a. Patrologia Orientalis 38.3 [176]. Turnhout: Brepols, 1977. | Ref C: Brière, Maurice and Graffin, François, eds. Sancti Philoxeni episcopi Mabbugensis dissertationes decem de Uno e sancta Trinitate incorporato et passo (Mêmrê contre Habib). III. Dissertationes 6a, 7a, 8a. Patrologia Orientalis 39.4 [181]. Turnhout: Brepols, 1979. | Ref D: Brière, Maurice and Graffin, François, eds. Sancti Philoxeni episcopi Mabbugensis dissertationes decem de Uno e sancta Trinitate incorporato et passo (Mêmrê contre Habib). IV. Dissertationes 9a, 10a. Patrologia Orientalis 40.2 [183]. Turnhout: Brepols, 1980. | Ref E: Brière, Maurice and Graffin, François, eds. Sancti Philoxeni episcopi Mabbugensis dissertationes decem de Uno e sancta Trinitate incorporato et passo (Mêmrê contre Habib). V. Appendices: I. Tractatus; II. Refutatio; III. Epistula dogmatica; IV. Florilegium. Patrologia Orientalis 41.1 [186]. Turnhout: Brepols, 1982.
BarQard:OdeBarEbrName	Pritula, Anton, “One More Unknown Khāmīs’ Ode in Honor of Bar ‘Ebrōyō,” Христианский Восток 8 [14] (2017), 187-194.
AboodiTA:SimpPoemsIntro	Paulose, Athanasius, "ܡܘܫ̈ܚܬܐ ܦܫܝܛ̈ܬܐ. Simple Poems", Holland: Bar Hebraeus Verlag, 1986.
BarsoumIA:HistSyrDio	Barsoum, Ignatius Aphram, ed. Al-Majalla al-Baṭriarkiyya al-Suryāniyya 5 (1938): 125-134
ChalBrev1	Breviarium Chaldaicum. Pars prima: Ab Adventu ad Quadragesima. Lutetiæ Parisiorum : Via Dicta de Sèvres 95, 1886.
IšoMerv:ComMtMk	Gibson, Margaret Dunlop, ed. The commentaries of Isho'dad of Merv Bishop of Hadatha (c. 850 A.D.) in Syriac and English: Matthew and Mark in Syriac, vol. 2, Cambridge: Cambridge University Press, 1911.
IšoMerv:ComLkJn	Gibson, Margaret Dunlop, ed. The commentaries of Isho'dad of Merv Bishop of Hadatha (c. 850 A.D.) in Syriac and English: Luke and John in Syriac, vol. 3, Cambridge: Cambridge University Press, 1911.
PhysioIndChar	Furlani, Giuseppe, “A Short Physiognomic Treatise in the Syriac Language,” Journal of the American Oriental Society 39 (1919), 289-294.
PreachSimPetRome	Cureton, William, ed. Ancient Syriac Documents Relative to the Earliest Establishment of Christianity in Edessa and the Neighbouring Countries, from the Year after Our Lord’s Ascension to the Beginning of the Fourth Century. London / Edinburgh: Williams and Norgate, 1864.
ExtremRomHolyMyst	Hall, Isaac Hollister, ed. and trans. "The Extremity of the Romans and Praise before the Holy Mysteries: Syriac Texts and Translations." Journal of the American Oriental Society 13 (1889): 34-56.
AbbaIs:Ascet	Ref A: Draguet, René. Les cinq recensions de l’Ascéticon syriaque d’abba Isaïe. I. Les témoins et leurs parallèles non-syriaques; Édition des logoi I–XIII. CSCO 289, Syr. 120. Leuven: Secrétariat du CorpusSCO, 1968. | Ref B: Draguet, René. Les cinq recensions de l’Ascéticon syriaque d’abba Isaïe. II. Édition des logoi XIV–XXVI. CSCO 290, Syr. 121. Leuven: Secrétariat du CorpusSCO, 1968.
